sec,nanosec,frame_id,x,y,z,qx,qy,qz,qw
1777986252,83730370,base,0.3907984793186188,0.19759446382522583,0.8062698245048523,-0.6396880417367731,-0.2022524638599462,-0.3457814608114093,0.6559941532466232
1777986256,350780243,base,0.39152535796165466,0.19697822630405426,0.8059197068214417,-0.6398572641452998,-0.20147755358100713,-0.3458212806228996,0.6560465825242598
1777986256,384737021,base,0.3922501802444458,0.19638444483280182,0.8055400252342224,-0.6400325727896533,-0.2007258516877289,-0.3458191525245603,0.6561071099815019
1777986256,410785764,base,0.39295899868011475,0.19577695429325104,0.8051642179489136,-0.6401955746073268,-0.2000143413699859,-0.3457782895299842,0.6561868983539483
1777986256,436781693,base,0.3936401307582855,0.19515104591846466,0.8047769069671631,-0.6403377430082753,-0.19937315932854083,-0.34565522819574873,0.6563081502695819
1777986256,462772658,base,0.3943089544773102,0.19452118873596191,0.80435711145401,-0.6404836797589618,-0.19879063628155566,-0.3454413736364794,0.6564550100845667
1777986256,498737575,base,0.3948632776737213,0.1938021332025528,0.8039231896400452,-0.6405327654688505,-0.19845224774177264,-0.34495050353663215,0.6567675481181424
1777986256,559736748,base,0.3939521014690399,0.19368599355220795,0.8035097718238831,-0.6401439769779185,-0.20064527433210427,-0.3424636075284037,0.6577809675093648
1777986256,583795204,base,0.3930216431617737,0.19406063854694366,0.8033977150917053,-0.6398914579731114,-0.20238846661229792,-0.3409279550554696,0.6582901597138762
1777986256,602773823,base,0.3921056389808655,0.19449292123317719,0.8033063411712646,-0.6396693291594318,-0.20408321662720957,-0.33948864504910026,0.6587265237166476
1777986256,618736823,base,0.3912048637866974,0.194940984249115,0.8032017946243286,-0.6394668219277895,-0.20576937737815598,-0.33804740406438916,0.6591396559816323
1777986256,634749892,base,0.3902756869792938,0.1953846663236618,0.8030980229377747,-0.6392496082913095,-0.20749139129197203,-0.33656902029190505,0.6595669414207064
1777986256,653831037,base,0.3893378674983978,0.19582608342170715,0.8029892444610596,-0.6390262239261043,-0.20922516028418847,-0.3350738314480135,0.6599968331186039
1777986256,692786084,base,0.3884236216545105,0.19622614979743958,0.802879810333252,-0.638799208095122,-0.21091615589895912,-0.33359269644116724,0.6604285405165339
1777986256,798752084,base,0.3889772593975067,0.19540433585643768,0.8027376532554626,-0.6387230587139048,-0.21022194811839562,-0.3337121289655518,0.6606631427914796
1777986256,963778813,base,0.38841885328292847,0.19557394087314606,0.8019089102745056,-0.6387725528855904,-0.21107436735430155,-0.3322153675842355,0.6610977073376078
1777986257,10769144,base,0.387870192527771,0.19618773460388184,0.8013208508491516,-0.6389543209905357,-0.21213150483671936,-0.3309279928827023,0.6612293498331614
1777986257,55726519,base,0.38747313618659973,0.19677262008190155,0.800593376159668,-0.6392408057794942,-0.212844635684701,-0.3298062894453609,0.6612836969867631
1777986257,102742441,base,0.3873608708381653,0.19729657471179962,0.7997379899024963,-0.6396792173669001,-0.21301087351101855,-0.3290293147020312,0.6611932940970686
1777986257,147727133,base,0.3873058259487152,0.19780489802360535,0.7988673448562622,-0.6401412510621828,-0.21306005795952535,-0.32833494034296434,0.6610754536155018
1777986257,237728215,base,0.38708582520484924,0.19810356199741364,0.797934353351593,-0.640453321345548,-0.21308884244480084,-0.3275475686422903,0.6611544740754179
1777986257,310766429,base,0.38622528314590454,0.1980614811182022,0.7974261045455933,-0.6401766954686611,-0.2138754104461971,-0.32640457706982473,0.6617334502702948
1777986257,358739770,base,0.38546222448349,0.19807745516300201,0.7967470288276672,-0.640023867122678,-0.21449181644309911,-0.3252688595903187,0.6622407886180017
1777986257,400767268,base,0.3849196135997772,0.19807367026805878,0.7958930730819702,-0.6400233371027153,-0.21465170416484963,-0.3243690045923861,0.662630755371552
1777986257,440727591,base,0.38444462418556213,0.19812996685504913,0.795011043548584,-0.6400895413428026,-0.21476253851823882,-0.32350297807022266,0.6629541818174344
1777986257,482769702,base,0.3840208351612091,0.19820719957351685,0.7940931916236877,-0.6402019433336676,-0.2148035401884443,-0.3226769543251388,0.6632348456623168
1777986257,523740641,base,0.38361695408821106,0.19829611480236053,0.7931813597679138,-0.640326343818787,-0.21482508615630996,-0.3218685899658505,0.6635005112105377
1777986257,564771964,base,0.3831893503665924,0.1983855664730072,0.7922667860984802,-0.6404387933438942,-0.21486932425125618,-0.32104191713102054,0.663778134074606
1777986257,604767980,base,0.3827211260795593,0.19841982424259186,0.7913836240768433,-0.6404985912630887,-0.2149363337813004,-0.3202157392955949,0.6640977310203419
1777986257,641743252,base,0.3822270929813385,0.19845275580883026,0.7905136346817017,-0.6405404706415816,-0.21504364455823255,-0.3193640429853613,0.6644326444162854
1777986257,675777035,base,0.3817127048969269,0.19850733876228333,0.7896297574043274,-0.6405858829074829,-0.2151900451246815,-0.31847114842066415,0.6647699423533332
1777986257,706741058,base,0.38122037053108215,0.1985669881105423,0.7887582182884216,-0.6406397359011317,-0.21531388813664812,-0.31761137388573407,0.6650892184861574
1777986257,738733477,base,0.3807035982608795,0.19859133660793304,0.7878655791282654,-0.6406734894454986,-0.21540427796480388,-0.3167613249605114,0.6654327354019852
1777986257,771783819,base,0.3801610767841339,0.1985563039779663,0.7870199680328369,-0.6406530208783006,-0.21548764797229805,-0.315946373727516,0.6658127708628994
1777986257,804778696,base,0.3796004056930542,0.1985231637954712,0.7861710786819458,-0.6406296292078638,-0.21559818633024072,-0.31511875208745754,0.6661916137399065
1777986257,836736161,base,0.37909749150276184,0.19851870834827423,0.7852742671966553,-0.6406617084384193,-0.2156492670121155,-0.3143081733895238,0.6665270511395323
1777986257,867784539,base,0.37864068150520325,0.1985723376274109,0.7843683958053589,-0.640746046220568,-0.21569805034467388,-0.3135164196090969,0.6668030430849835
1777986257,900756707,base,0.37821653485298157,0.19866125285625458,0.7834617495536804,-0.6408664858669566,-0.2157506043252665,-0.312739882406909,0.66703491995609
1777986257,939772227,base,0.3777965009212494,0.1987670212984085,0.7825429439544678,-0.6410003451922158,-0.2158058631199179,-0.3119570303838843,0.6672549717961285
1777986257,993731359,base,0.3774226903915405,0.1988450586795807,0.7816184163093567,-0.6411662397164976,-0.21585002717206367,-0.3112246726101242,0.6674232451404635
1777986258,71771074,base,0.37740272283554077,0.19893358647823334,0.7806136012077332,-0.6416479845344971,-0.21594915368778742,-0.3107755481177566,0.66713745132711
1777986258,144727325,base,0.3776194155216217,0.19911585748195648,0.7796492576599121,-0.6421458171519735,-0.215716018153175,-0.3101970216881957,0.6670031071909821
1777986258,198729135,base,0.37795770168304443,0.199141263961792,0.7786895036697388,-0.6426052129221734,-0.21529889718710965,-0.30963909693989694,0.6669546569860468
1777986258,238764537,base,0.37829530239105225,0.19914008677005768,0.7777420282363892,-0.643049566718719,-0.21488587749337104,-0.3090998395764054,0.6669097335586454
1777986258,275770180,base,0.37855225801467896,0.19918875396251678,0.7767513394355774,-0.6434858397537055,-0.21452572600535497,-0.3084923528602438,0.6668861449380894
1777986258,312772605,base,0.3787185251712799,0.19923286139965057,0.775748074054718,-0.643875114854774,-0.2141930354150951,-0.3078337399711946,0.666921701588615
1777986258,350739399,base,0.378715842962265,0.19928188621997833,0.7747246623039246,-0.6441948187256968,-0.21394822598480218,-0.3071074842438436,0.6670263764763423
