sec,nanosec,frame_id,x,y,z,qx,qy,qz,qw
1777985371,707730954,base,0.45527246594429016,0.19310925900936127,0.8110756278038025,-0.6482072428095413,-0.34823397363767,-0.30562225889261385,0.6042809895484649
1777985421,746727578,base,0.45494312047958374,0.1940586119890213,0.8109944462776184,-0.6480438129787547,-0.34883723987789156,-0.30504328323193786,0.6044008462544846
1777985421,805726712,base,0.45463109016418457,0.1950058490037918,0.8109043836593628,-0.6479007870149084,-0.3494263405295169,-0.304478007492549,0.6044989198023235
1777985421,862727313,base,0.45435968041419983,0.1959649622440338,0.8107714056968689,-0.647776434215947,-0.34999248633366836,-0.3038804281760827,0.6046053721905031
1777985422,341730169,base,0.4548940360546112,0.19516843557357788,0.810464084148407,-0.6481064603396111,-0.34924336215964036,-0.30412924078322573,0.6045597424605695
1777985422,444732788,base,0.45535531640052795,0.19429431855678558,0.8103032112121582,-0.6483564194843057,-0.3485407446196834,-0.30449687338367915,0.6045121407643722
1777985422,747726267,base,0.4554325044155121,0.1943553388118744,0.8093041181564331,-0.6486149980824322,-0.3480112466345763,-0.30362578783178573,0.604977795915957
1777985422,912730427,base,0.45492634177207947,0.1939118653535843,0.8085558414459229,-0.6484856734198421,-0.34741069088150345,-0.3028930836036015,0.6058282838353921
1777985423,18731343,base,0.4543250799179077,0.19358734786510468,0.8078216314315796,-0.6483053891566101,-0.347079171187828,-0.3019637444187354,0.6066746001852807
1777985423,150730552,base,0.45367980003356934,0.1930786371231079,0.8072458505630493,-0.6480607720893461,-0.34660878475169876,-0.30131168997414337,0.6075284659674988
1777985423,357730793,base,0.45322734117507935,0.19268140196800232,0.8064457178115845,-0.6479810400734308,-0.3459962317395279,-0.30056126080914614,0.6083338586109459
1777985423,557730525,base,0.4532211720943451,0.1928626149892807,0.8054620027542114,-0.6482187458268083,-0.3457720516298545,-0.29950204717968915,0.6087303706543671
1777985423,648730671,base,0.4525677561759949,0.19319041073322296,0.8047630190849304,-0.6480396329239594,-0.34664159360247626,-0.29781141970794933,0.6092557649082135
1777985423,689726729,base,0.45165616273880005,0.19347739219665527,0.8044567704200745,-0.6476215695875536,-0.3479329588324979,-0.29621807231277675,0.6097407758174714
1777985423,726731864,base,0.45071130990982056,0.19375428557395935,0.8041916489601135,-0.6471730625789001,-0.349250309339701,-0.2946407192706375,0.6102279034277388
1777985423,771731192,base,0.4497816860675812,0.19400198757648468,0.8038965463638306,-0.6467356311589967,-0.35048516308139194,-0.2930864944073104,0.6107319289417297
1777985423,926730699,base,0.4491795301437378,0.19354067742824554,0.8032413125038147,-0.6465467913504473,-0.35049738021670596,-0.2920192585641718,0.611435648417065
1777985424,24727555,base,0.44908177852630615,0.19266991317272186,0.802753210067749,-0.6465789812915959,-0.3497118899233415,-0.29187825143240664,0.6119185382045886
1777985424,107726943,base,0.4486062526702881,0.19202874600887299,0.8021411895751953,-0.6464356450610562,-0.34905502178972797,-0.2913800285014329,0.6126819990755779
1777985424,167730504,base,0.4480026662349701,0.19152724742889404,0.8014980554580688,-0.6462448574221786,-0.34850277478397107,-0.29075703897987604,0.6134930783167595
1777985424,213726408,base,0.4475210905075073,0.19111907482147217,0.8007056713104248,-0.6461515941132174,-0.3479008801276158,-0.2900270465693216,0.6142779437573402
1777985424,256726536,base,0.44703710079193115,0.19070956110954285,0.7999128103256226,-0.6460526730007871,-0.3472947659958163,-0.2892983598182269,0.6150680762380806
1777985424,301733428,base,0.4465329945087433,0.19026395678520203,0.7991446852684021,-0.6459245964553157,-0.34667986438413223,-0.2885989051419745,0.6158775518381779
1777985424,348734348,base,0.4460451602935791,0.18984660506248474,0.7983624935150146,-0.6458020672862521,-0.34612343110917754,-0.28792614869886035,0.6166334345593135
1777985424,392734662,base,0.4455918073654175,0.18950434029102325,0.7975326180458069,-0.6456086393338609,-0.3458151842898858,-0.28741684568762393,0.6172462378181609
1777985424,440735002,base,0.4450789988040924,0.18912655115127563,0.7967366576194763,-0.6450005588526293,-0.34617557616331074,-0.2875674746585181,0.6176096717791139
1777985424,489728800,base,0.4446716904640198,0.18883000314235687,0.7958506941795349,-0.6434901836838018,-0.34841730812878857,-0.289462617046642,0.6170390110227819
1777985424,539733547,base,0.4443851709365845,0.18867160379886627,0.7948948740959167,-0.6408637989246676,-0.35277056630727155,-0.2933301933129691,0.615470485283057
1777985424,593735068,base,0.4441785216331482,0.18873415887355804,0.7939026355743408,-0.6372218030773639,-0.35900478131029623,-0.298849057219375,0.6129870964030941
1777985424,644734342,base,0.4438941478729248,0.18911634385585785,0.7930172085762024,-0.6349408602905555,-0.3629287838134752,-0.3017939711227893,0.6115989026342972
1777985424,691728754,base,0.4435412585735321,0.18957005441188812,0.792185366153717,-0.6347854552415623,-0.3631258873921956,-0.3010344200821665,0.6120173888326542
1777985424,741727904,base,0.44314301013946533,0.1900593489408493,0.7913873195648193,-0.6347721277013585,-0.36304937834277506,-0.3000141840438474,0.6125773192903207
1777985424,796726570,base,0.4426620602607727,0.1904413253068924,0.7905896306037903,-0.6347114247427352,-0.36290737460896305,-0.2990125597414863,0.6132137698433504
1777985424,860727087,base,0.4421311914920807,0.19049577414989471,0.7897434234619141,-0.6346171501174162,-0.3625377923707265,-0.29808105143947006,0.6139829832716047
1777985424,941734252,base,0.4414341449737549,0.19016548991203308,0.7891069054603577,-0.6343628946318892,-0.3620773273549169,-0.2974051746317669,0.6148446013991242
1777985425,25726699,base,0.4406181275844574,0.18960152566432953,0.7889182567596436,-0.6339309721122863,-0.36174977439691325,-0.2971488761794355,0.6156063306496176
1777985425,109726497,base,0.43964719772338867,0.18933480978012085,0.7889916300773621,-0.633368158004294,-0.36182460938676886,-0.2969119059163769,0.6162556327504123
1777985425,165727046,base,0.4387379586696625,0.1897553652524948,0.788865327835083,-0.6329307675040498,-0.36217731584132373,-0.29629145439461724,0.6167962253958511
1777985425,206733729,base,0.43801844120025635,0.1904040426015854,0.7885432839393616,-0.6326581435906967,-0.3625144881114794,-0.295501895867589,0.6172564462739252
1777985425,241730645,base,0.4374227821826935,0.1911085695028305,0.7881195545196533,-0.6324773376791084,-0.3628097614859651,-0.2946544588738213,0.6176732364798132
1777985425,274734249,base,0.43688252568244934,0.1918335109949112,0.7876510620117188,-0.6323412622388412,-0.3630801065564355,-0.2937836405591258,0.618068387475457
1777985425,307736632,base,0.4364234209060669,0.1925673633813858,0.7871302366256714,-0.6322619296261376,-0.36331435244960386,-0.29289891266360857,0.6184316778264323
